ISO;ed57;r5;witch17
BES;rcam;r5lam;laca
CUW;rcam;r5lam;laca
SXM;rcam;r5lam;laca
ESH;noan;r5maf;mena
AUT;aut;r5oecd;europe
BEL;bel;r5oecd;europe
DEU;rfa;r5oecd;europe
DNK;dnk;r5oecd;europe
ESP;esp;r5oecd;europe
FIN;fin;r5oecd;europe
FRA;fra;r5oecd;europe
GBR;gbr;r5oecd;europe
GRC;grc;r5oecd;europe
IRL;irl;r5oecd;europe
ITA;ita;r5oecd;europe
NLD;nld;r5oecd;europe
PRT;prt;r5oecd;europe
SWE;swe;r5oecd;europe
BGR;bgr;r5ref;europe
CZE;rcz;r5ref;europe
HUN;hun;r5ref;europe
POL;pol;r5ref;europe
ROU;rom;r5ref;europe
SVK;rsl;r5ref;europe
SVN;slo;r5ref;europe
HRV;cro;r5ref;europe
NOR;nor;r5oecd;europe
CHE;sui;r5oecd;europe
TUR;tur;r5ref;te
EST;blt;r5ref;europe
LTU;blt;r5ref;europe
LVA;blt;r5ref;europe
CYP;oeu;r5ref;europe
LUX;oeu;r5oecd;europe
MLT;oeu;r5ref;europe
LIE;oeu;r5oecd;europe
GRL;oeu;r5oecd;europe
ISL;oeu;r5oecd;europe
FRO;oeu;r5oecd;europe
ALA;oeu;r5oecd;europe
AND;oeu;r5oecd;europe
GGY;oeu;r5oecd;europe
GIB;oeu;r5oecd;europe
IMN;oeu;r5oecd;europe
JEY;oeu;r5oecd;europe
MCO;oeu;r5oecd;europe
SJM;oeu;r5oecd;europe
SMR;oeu;r5oecd;europe
VAT;oeu;r5oecd;europe
SPM;oeu;r5oecd;canada
BIH;oeu;r5ref;europe
ALB;oeu;r5ref;europe
MKD;oeu;r5ref;europe
MNE;oeu;r5ref;europe
SRB;oeu;r5ref;europe
KSV;oeu;r5ref;europe
LBY;noap;r5maf;mena
DZA;noap;r5maf;mena
TUN;noan;r5maf;mena
MAR;noan;r5maf;mena
EGY;egy;r5maf;mena
ZAF;zaf;r5oecd;southafrica
AGO;rsaf;r5maf;ssa
BEN;rsaf;r5maf;ssa
BWA;rsaf;r5maf;ssa
BFA;rsaf;r5maf;ssa
BDI;rsaf;r5maf;ssa
CMR;rsaf;r5maf;ssa
CPV;rsaf;r5maf;ssa
CAF;rsaf;r5maf;ssa
TCD;rsaf;r5maf;ssa
COM;rsaf;r5maf;ssa
COG;rsaf;r5maf;ssa
COD;rsaf;r5maf;ssa
CIV;rsaf;r5maf;ssa
GNQ;rsaf;r5maf;ssa
ERI;rsaf;r5maf;ssa
ETH;rsaf;r5maf;ssa
GAB;rsaf;r5maf;ssa
GMB;rsaf;r5maf;ssa
GHA;rsaf;r5maf;ssa
GIN;rsaf;r5maf;ssa
GNB;rsaf;r5maf;ssa
KEN;rsaf;r5maf;ssa
LSO;rsaf;r5maf;ssa
LBR;rsaf;r5maf;ssa
MDG;rsaf;r5maf;ssa
MWI;rsaf;r5maf;ssa
MLI;rsaf;r5maf;ssa
MRT;rsaf;r5maf;ssa
MUS;rsaf;r5maf;ssa
MYT;rsaf;r5maf;ssa
MOZ;rsaf;r5maf;ssa
NAM;rsaf;r5maf;ssa
NER;rsaf;r5maf;ssa
NGA;rsaf;r5maf;ssa
REU;rsaf;r5maf;ssa
RWA;rsaf;r5maf;ssa
STP;rsaf;r5maf;ssa
SEN;rsaf;r5maf;ssa
SYC;rsaf;r5maf;ssa
SHN;rsaf;r5maf;ssa
SLE;rsaf;r5maf;ssa
SOM;rsaf;r5maf;ssa
SSD;rsaf;r5maf;ssa
SDN;rsaf;r5maf;ssa
SWZ;rsaf;r5maf;ssa
TZA;rsaf;r5maf;ssa
TGO;rsaf;r5maf;ssa
UGA;rsaf;r5maf;ssa
ZMB;rsaf;r5maf;ssa
ZWE;rsaf;r5maf;ssa
DJI;rsaf;r5maf;ssa
IOT;rsaf;r5maf;ssa
BVT;rsaf;r5maf;ssa
ATF;rsaf;r5maf;ssa
ISR;meme;r5maf;mena
JOR;meme;r5maf;mena
SYR;meme;r5maf;mena
LBN;meme;r5maf;mena
PSE;meme;r5maf;mena
ARE;golf57;r5maf;mena
BHR;golf57;r5maf;mena
IRN;golf57;r5maf;mena
IRQ;golf57;r5maf;mena
KWT;golf57;r5maf;mena
OMN;golf57;r5maf;mena
QAT;golf57;r5maf;mena
SAU;golf57;r5maf;mena
YEM;golf57;r5maf;mena
AUS;aus;r5oecd;oceania
CXR;rjan57;r5oecd;oceania
COK;rjan57;r5oecd;oceania
HMD;rjan57;r5oecd;oceania
NFK;rjan57;r5oecd;oceania
NIU;rjan57;r5oecd;oceania
NRU;rjan57;r5oecd;oceania
PCN;rjan57;r5oecd;oceania
TKL;rjan57;r5oecd;oceania
TUV;rjan57;r5oecd;oceania
UMI;rjan57;r5oecd;oceania
WLF;rjan57;r5oecd;oceania
FJI;rjan57;r5asia;oceania
PNG;rjan57;r5asia;oceania
FSM;rjan57;r5asia;oceania
GUM;rjan57;r5asia;oceania
ASM;rjan57;r5asia;oceania
TLS;rjan57;r5asia;oceania
PYF;rjan57;r5asia;oceania
KIR;rjan57;r5asia;oceania
MNP;rjan57;r5asia;oceania
MHL;rjan57;r5asia;oceania
NCL;rjan57;r5asia;oceania
PLW;rjan57;r5asia;oceania
WSM;rjan57;r5asia;oceania
SLB;rjan57;r5asia;oceania
TON;rjan57;r5asia;oceania
VUT;rjan57;r5asia;oceania
NZL;rjan57;r5oecd;oceania
CHN;chn;r5asia;china
IND;nde;r5asia;india
MYS;mys;r5asia;seasia
THA;tha;r5asia;seasia
VNM;vnm;r5asia;seasia
JPN;jpn;r5oecd;jpnkor
KOR;cor;r5oecd;jpnkor
IDN;idn;r5asia;indonesia
BRN;osea;r5asia;seasia
CCK;osea;r5asia;seasia
KHM;osea;r5asia;seasia
LAO;osea;r5asia;seasia
MMR;osea;r5asia;seasia
PHL;osea;r5asia;seasia
SGP;osea;r5asia;seasia
PRK;osea;r5asia;jpnkor
HKG;osea;r5asia;china
MAC;osea;r5asia;china
TWN;osea;r5asia;china
MNG;osea;r5asia;te
AFG;rsas;r5asia;sasia
BGD;rsas;r5asia;sasia
BTN;rsas;r5asia;sasia
LKA;rsas;r5asia;sasia
MDV;rsas;r5asia;sasia
NPL;rsas;r5asia;sasia
PAK;rsas;r5asia;sasia
ARG;arg;r5lam;laca
BRA;bra;r5lam;brazil
CHL;chl;r5lam;laca
BOL;rsam;r5lam;laca
COL;rsam;r5lam;laca
ECU;rsam;r5lam;laca
FLK;rsam;r5lam;laca
GUF;rsam;r5lam;laca
GUY;rsam;r5lam;laca
PER;rsam;r5lam;laca
PRY;rsam;r5lam;laca
SUR;rsam;r5lam;laca
URY;rsam;r5lam;laca
VEN;rsam;r5lam;laca
MEX;mex;r5lam;mexico
ABW;rcam;r5lam;laca
BHS;rcam;r5lam;laca
BLZ;rcam;r5lam;laca
BRB;rcam;r5lam;laca
CRI;rcam;r5lam;laca
CUB;rcam;r5lam;laca
DMA;rcam;r5lam;laca
DOM;rcam;r5lam;laca
GRD;rcam;r5lam;laca
GTM;rcam;r5lam;laca
HND;rcam;r5lam;laca
HTI;rcam;r5lam;laca
JAM;rcam;r5lam;laca
LCA;rcam;r5lam;laca
NIC;rcam;r5lam;laca
PAN;rcam;r5lam;laca
SLV;rcam;r5lam;laca
TTO;rcam;r5lam;laca
VCT;rcam;r5lam;laca
ATA;rcam;r5lam;laca
BMU;rcam;r5lam;laca
SGS;rcam;r5lam;laca
TCA;rcam;r5lam;laca
VGB;rcam;r5lam;laca
VIR;rcam;r5lam;laca
AIA;rcam;r5lam;laca
ATG;rcam;r5lam;laca
BLM;rcam;r5lam;laca
CYM;rcam;r5lam;laca
GLP;rcam;r5lam;laca
KNA;rcam;r5lam;laca
MAF;rcam;r5lam;laca
MSR;rcam;r5lam;laca
MTQ;rcam;r5lam;laca
PRI;rcam;r5lam;laca
CAN;can;r5oecd;canada
USA;usa;r5oecd;usa
RUS;rus;r5ref;te
UKR;ukr;r5ref;te
ARM;ris;r5ref;te
AZE;ris;r5ref;te
BLR;ris;r5ref;te
GEO;ris;r5ref;te
KAZ;ris;r5ref;te
KGZ;ris;r5ref;te
MDA;ris;r5ref;te
TJK;ris;r5ref;te
TKM;ris;r5ref;te
UZB;ris;r5ref;te
