"n","ISO"
"r5oecd","CAN"
"r5oecd","JPN"
"r5oecd","NZL"
"r5asia","CHN"
"r5asia","HKG"
"r5asia","MAC"
"r5asia","TWN"
"r5asia","ASM"
"r5asia","BRN"
"r5asia","CCK"
"r5asia","FJI"
"r5asia","FSM"
"r5asia","GUM"
"r5asia","IDN"
"r5asia","KHM"
"r5asia","KIR"
"r5asia","PRK"
"r5asia","LAO"
"r5asia","MHL"
"r5asia","MMR"
"r5asia","MNG"
"r5asia","MNP"
"r5asia","MYS"
"r5asia","NCL"
"r5asia","PHL"
"r5asia","PLW"
"r5asia","PNG"
"r5asia","PYF"
"r5asia","SGP"
"r5asia","SLB"
"r5asia","THA"
"r5asia","TLS"
"r5asia","TON"
"r5asia","VNM"
"r5asia","VUT"
"r5asia","WSM"
"r5oecd","AUS"
"r5oecd","KOR"
"r5oecd","ZAF"
"r5lam","ABW"
"r5lam","AIA"
"r5lam","ARG"
"r5lam","ATG"
"r5lam","BES"
"r5lam","BHS"
"r5lam","BLM"
"r5lam","BLZ"
"r5lam","BOL"
"r5lam","BRA"
"r5lam","BRB"
"r5lam","CHL"
"r5lam","COL"
"r5lam","CRI"
"r5lam","CUB"
"r5lam","CUW"
"r5lam","CYM"
"r5lam","DMA"
"r5lam","DOM"
"r5lam","ECU"
"r5lam","FLK"
"r5lam","GLP"
"r5lam","GRD"
"r5lam","GTM"
"r5lam","GUF"
"r5lam","GUY"
"r5lam","HND"
"r5lam","HTI"
"r5lam","JAM"
"r5lam","KNA"
"r5lam","LCA"
"r5lam","MAF"
"r5lam","MEX"
"r5lam","MSR"
"r5lam","MTQ"
"r5lam","NIC"
"r5lam","PAN"
"r5lam","PER"
"r5lam","PRI"
"r5lam","PRY"
"r5lam","SLV"
"r5lam","SUR"
"r5lam","SXM"
"r5lam","TTO"
"r5lam","URY"
"r5lam","VCT"
"r5lam","VEN"
"r5asia","IND"
"r5maf","ARE"
"r5maf","BHR"
"r5maf","DJI"
"r5maf","DZA"
"r5maf","EGY"
"r5maf","ESH"
"r5maf","IRN"
"r5maf","IRQ"
"r5maf","ISR"
"r5maf","JOR"
"r5maf","KWT"
"r5maf","LBN"
"r5maf","LBY"
"r5maf","MAR"
"r5maf","OMN"
"r5maf","PSE"
"r5maf","QAT"
"r5maf","SAU"
"r5maf","SYR"
"r5maf","TUN"
"r5maf","YEM"
"r5ref","BGR"
"r5ref","CYP"
"r5ref","CZE"
"r5ref","EST"
"r5ref","KSV"
"r5ref","HUN"
"r5ref","LTU"
"r5ref","LVA"
"r5ref","POL"
"r5ref","ROU"
"r5ref","SVK"
"r5ref","SVN"
"r5ref","MLT"
"r5ref","HRV"
"r5oecd","AUT"
"r5oecd","BEL"
"r5oecd","DEU"
"r5oecd","DNK"
"r5oecd","ESP"
"r5oecd","FIN"
"r5oecd","FRA"
"r5oecd","GBR"
"r5oecd","GRC"
"r5oecd","IRL"
"r5oecd","ITA"
"r5oecd","LUX"
"r5oecd","NLD"
"r5oecd","PRT"
"r5oecd","SWE"
"r5oecd","LIE"
"r5oecd","NOR"
"r5oecd","CHE"
"r5oecd","GRL"
"r5oecd","ISL"
"r5oecd","FRO"
"r5oecd","ALA"
"r5oecd","AND"
"r5oecd","GGY"
"r5oecd","GIB"
"r5oecd","IMN"
"r5oecd","JEY"
"r5oecd","MCO"
"r5oecd","SJM"
"r5oecd","SMR"
"r5oecd","VAT"
"r5oecd","SPM"
"r5asia","AFG"
"r5asia","BGD"
"r5asia","BTN"
"r5asia","LKA"
"r5asia","MDV"
"r5asia","NPL"
"r5asia","PAK"
"r5maf","AGO"
"r5maf","BEN"
"r5maf","BWA"
"r5maf","BFA"
"r5maf","BDI"
"r5maf","CMR"
"r5maf","CPV"
"r5maf","CAF"
"r5maf","TCD"
"r5maf","COM"
"r5maf","COG"
"r5maf","COD"
"r5maf","CIV"
"r5maf","GNQ"
"r5maf","ERI"
"r5maf","ETH"
"r5maf","GAB"
"r5maf","GMB"
"r5maf","GHA"
"r5maf","GIN"
"r5maf","GNB"
"r5maf","KEN"
"r5maf","LSO"
"r5maf","LBR"
"r5maf","MDG"
"r5maf","MWI"
"r5maf","MLI"
"r5maf","MRT"
"r5maf","MUS"
"r5maf","MYT"
"r5maf","MOZ"
"r5maf","NAM"
"r5maf","NER"
"r5maf","NGA"
"r5maf","REU"
"r5maf","RWA"
"r5maf","STP"
"r5maf","SEN"
"r5maf","SYC"
"r5maf","SHN"
"r5maf","SLE"
"r5maf","SOM"
"r5maf","SSD"
"r5maf","SDN"
"r5maf","SWZ"
"r5maf","TZA"
"r5maf","TGO"
"r5maf","UGA"
"r5maf","ZMB"
"r5maf","ZWE"
"r5ref","ALB"
"r5ref","ARM"
"r5ref","AZE"
"r5ref","BLR"
"r5ref","BIH"
"r5ref","GEO"
"r5ref","KAZ"
"r5ref","KGZ"
"r5ref","MKD"
"r5ref","MDA"
"r5ref","MNE"
"r5ref","RUS"
"r5ref","SRB"
"r5ref","TJK"
"r5ref","TUR"
"r5ref","TKM"
"r5ref","UKR"
"r5ref","UZB"
"r5oecd","USA"
"r5oecd","CXR"
"r5lam","ATA"
"r5maf","ATF"
"r5lam","BMU"
"r5maf","BVT"
"r5oecd","COK"
"r5oecd","HMD"
"r5maf","IOT"
"r5oecd","NFK"
"r5oecd","NIU"
"r5oecd","NRU"
"r5oecd","PCN"
"r5lam","SGS"
"r5lam","TCA"
"r5oecd","TKL"
"r5oecd","TUV"
"r5oecd","UMI"
"r5lam","VGB"
"r5lam","VIR"
"r5oecd","WLF"
